chr9	21062393	21067093	100009600	-
chr7	84935565	84964115	100009609	-
chr10	77711457	77712009	100009614	+
chr4	144157557	144162663	100012	-
chr4	134741554	134768024	100017	-
chr4	32657119	32775217	100019	+
chr1	173673675	173698395	100033459	+
chr11	83703991	83706268	100034251	+
chr2	121460235	121474067	100034361	-
chrX	136955265	136975497	100034363	-
chr13	23527011	23530943	100034675	-
chr16	36359382	36367748	100034684	-
chrX	148488949	148521446	100034729	+
chr17	25946387	25952565	100034748	-
chr13	23247134	23253906	100036518	+
chr2	180332857	180340732	100036520	+
chr6	8259288	8459470	100036521	+
chr7	141610066	141613747	100036523	-
chr9	49518288	49572591	100036537	+
chr11	109352835	109363654	100036768	-
chr14	118937976	118981697	100037258	+
chr1	92933526	92950590	100037260	-
chr11	98797707	98810087	100037262	-
chr8	71597648	71607936	100037278	+
chr17	6904413	6948682	100037282	-
chr17	6970634	7011299	100037283	+
chr7	4126340	4136926	100037396	-
chr7	73740302	73776919	100038347	+
chr18	75514645	75522806	100038353	+
chr6	88842854	88847274	100038356	+
chr2	6132869	6140568	100038358	+
chrX	96239926	96243636	100038363	+
chr2	174125038	174183918	100038374	-
chr12	100187968	100193540	100038378	+
chr16	91688898	91715642	100038392	+
chr17	13205042	13206209	100038394	+
chr18	62607535	62741387	100038417	-
chr18	4812486	4850959	100038439	+
chr3	108379277	108383741	100038453	-
chr2	109902396	109913319	100038454	-
chr3	96555765	96566801	100038464	-
chr9	45107176	45135606	100038468	-
chr10	77011995	77022214	100038479	+
chr8	65028417	65037336	100038489	-
chr2	60964376	60975151	100038493	-
chr13	56362900	56368857	100038494	+
chr2	151205195	151231614	100038513	+
chr4	14929908	14953030	100038514	+
chr7	31155668	31170641	100038516	+
chr12	3859293	3862244	100038522	-
chr2	93452819	93469871	100038525	+
chr13	66904914	66909236	100038538	+
chr3	11823229	11844359	100038545	-
chr8	12706944	12719127	100038554	-
chr7	137234683	137242609	100038555	+
chr6	84412942	84423838	100038556	-
chr11	116653534	116668389	100038570	+
chr4	118954274	118954919	100038571	-
chr6	126286649	126328686	100038574	-
chr9	79444037	79519302	100038575	-
chr13	41865915	41913092	100038577	+
chrX	99405331	99443797	100038584	-
chr10	127195249	127202643	100038591	+
chr4	139175405	139180655	100038595	-
chr15	78994955	79011041	100038602	-
chr3	146367153	146378944	100038607	-
chr15	10600293	10611651	100038608	+
chr16	84972214	84979451	100038614	+
chr11	24721006	24730722	100038617	-
chr16	27849930	27926128	100038623	+
chr13	67278577	67283361	100038627	+
chr11	115988052	115993715	100038636	-
chrX	68667514	68678399	100038638	-
chr1	132729355	132732826	100038653	+
chr14	47097679	47116161	100038654	-
chr1	162647193	162658219	100038657	-
chr12	117144530	117151651	100038689	-
chr13	118603418	118658743	100038690	-
chr4	142083972	142088099	100038693	+
chr10	97681414	97967090	100038699	-
chr8	87169747	87199850	100038706	-
chr2	6932541	6935081	100038708	-
chr1	192136896	192151026	100038712	+
chr12	100276609	100302315	100038713	+
chr10	53273443	53379947	100038725	-
chr15	43430943	43477036	100038728	-
chr11	112792731	112799008	100038732	-
chr14	79860521	79869176	100038734	-
chr15	36870501	36879816	100038735	-
chr17	94759944	94834799	100038746	-
chr10	22402883	22407470	100038752	+
chr11	82924903	82933382	100038761	-
chr14	7006115	7027449	100038847	-
chr16	36321665	36334332	100038854	-
chr17	33168447	33180753	100038859	+
chr17	33191302	33202506	100038860	+
chr17	34377132	34386028	100038862	+
chr4	156199455	156200796	100038882	-
chr7	3884242	3898120	100038909	-
chr8	21134642	21135598	100038927	+
chrX	124124961	124135952	100038941	-
chr3	15795145	15848528	100038947	-
chr4	60418046	60421952	100038948	-
chr5	25999022	26004798	100038949	-
chr7	38518139	38528193	100038967	-
chrX	25548296	25570452	100038977	-
chr12	87841837	87842339	100038992	-
chrX	25622512	25643661	100038997	-
chr4	60578260	60582199	100039008	-
chrY	17874741	17877179	100039014	+
chr3	40846820	40875388	100039027	+
chr4	60658466	60662411	100039028	-
chrX	26200678	26231355	100039030	-
chrY	60457472	60481481	100039032	-
chrY	40804914	40807356	100039034	+
chr12	87874072	87877859	100039042	+
chr5	26082574	26089291	100039045	-
chr12	87895370	87895804	100039052	+
chr4	60737383	60741326	100039054	-
chrX	55553147	55568358	100039055	+
chr2	175965331	175980303	100039060	+
chrX	26286977	26310044	100039065	-
chr12	87954080	87960683	100039087	+
chr4	61224307	61228286	100039089	-
chr4	61300023	61304000	100039116	-
chrX	26672777	26702638	100039120	-
chr2	176798612	176811223	100039123	+
chr1	185447116	185455568	100039138	-
chr15	3280070	3303526	100039139	-
chr11	37658989	37673166	100039148	+
chr4	61435790	61439743	100039150	-
chr14	26027282	26042711	100039175	-
chr2	60411525	60412579	100039176	+
chr4	61515592	61519531	100039177	-
chr9	83431547	83454573	100039186	+
chr14	26063919	26067355	100039192	-
chr4	61591929	61595871	100039206	-
chr14	26081516	26096127	100039213	+
chr9	83691475	83693223	100039222	+
chr14	26118349	26129763	100039227	+
chrX	27924017	27946885	100039240	-
chr14	26167405	26182480	100039246	-
chr14	26203369	26207041	100039257	-
chr14	26082297	26235744	100039280	+
chr14	26257962	26269436	100039293	+
chr12	88175589	88182108	100039315	-
chrX	117014757	117015104	100039319	+
chrX	28584992	28607842	100039324	-
chr18	80541892	80544546	100039348	-
chrX	28931821	28954702	100039377	-
chr13	43948879	43952699	100039432	+
chr14	19563800	19585135	100039441	-
chr14	19532896	19549963	100039452	-
chrX	30820542	30843469	100039467	-
chr14	26016431	26025837	100039484	+
chr6	145250529	145251849	100039495	+
chr14	26156036	26163648	100039503	+
chrX	148290866	148354730	100039545	+
chrX	35067384	35090316	100039550	+
chrX	118427227	118428256	100039551	+
chrY	78835721	78838056	100039574	-
chrX	35404183	35427093	100039585	+
chrY	13042891	13045326	100039595	+
chr1	9960163	9967932	100039596	-
chrY	24455057	24457399	100039614	+
chr6	147180244	147208285	100039641	+
chr4	43583216	43584494	100039672	-
chr9	88719629	88806264	100039674	+
chr9	88688602	88720296	100039707	-
chr6	147690241	147702374	100039727	+
chrY	8832821	8835169	100039753	-
chrX	123346764	123378718	100039763	+
chr4	43727188	43728639	100039781	+
chr1	166254139	166316823	100039795	+
chr11	49057194	49064206	100039796	-
chr8	47822143	47822805	100039801	+
chr5	147418601	147423044	100039805	+
chrY	68537955	68540290	100039810	+
chr12	55142109	55151007	100039815	-
chr12	55217176	55226072	100039830	-
chr4	42153436	42158839	100039863	+
chr4	132308623	132311024	100039864	+
chrX	149272377	149305003	100039890	+
chrX	42489691	42491524	100039899	+
chrY	86061772	86087952	100039905	+
chr15	54981333	54986891	100039911	-
chrX	37412067	37416806	100039913	+
chrX	149447617	149487784	100039934	+
chr7	43511165	43518970	100039946	-
chrX	37453680	37469861	100039948	+
chr7	45176349	45179569	100039953	-
chr8	50368112	50416088	100039954	+
chr19	8774487	8786417	100039957	-
chr4	127123691	127129644	100039968	+
chrX	37530452	37541813	100040016	+
chrX	154001590	154012640	100040020	-
chrY	15882421	15884771	100040022	-
chrY	62462504	62464845	100040031	-
chr4	41769467	41774247	100040048	-
chrY	7632774	7638489	100040160	-
chrY	41375734	41376429	100040171	-
chrY	11197024	11199374	100040187	-
chr16	89015284	89015846	100040201	+
chr6	40995830	40999479	100040208	-
chr16	89040923	89041472	100040214	-
chrY	17874741	17967603	100040223	+
chr6	41442216	41446145	100040233	-
chr11	99657949	99658960	100040248	-
chrY	17757509	17758204	100040262	+
chr4	43830542	43840201	100040268	-
chr11	99771714	99772913	100040276	-
chr8	87460469	87525554	100040294	+
chr4	117153827	117156243	100040298	-
chr10	77814682	77836652	100040299	+
chr13	107022553	107055497	100040322	+
chrY	40804914	40807356	100040335	+
chr12	105394860	105404618	100040339	-
chr13	53393657	53455630	100040421	+
chrY	72038997	72039692	100040429	-
chrX	31382186	31383886	100040448	-
chrX	31336401	31338101	100040458	+
chr1	173849126	173942491	100040462	-
chrX	32278435	32280341	100040482	+
chr17	6511791	6528713	100040500	-
chrY	57187188	57213362	100040509	+
chr17	6646602	6655900	100040531	-
chrX	32973938	32975845	100040533	+
chr14	41278805	41288815	100040545	+
chrX	33234626	33235443	100040552	+
chr4	45639744	45646111	100040557	+
chr17	6601671	6609774	100040563	+
